!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                                                                                                                                                                    !
! General information                                                                                                                                                                                                !
!                                                                                                                                                                                                                    !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!
! Reaction network for use in high-temperature high-pressure environments such as planet atmospheres and AGB atmospheres.
! Construction of network by M. Agundez after careful examination of chemical kinetics literature.
! Network has been checked against published evaluations, compilations, and networks (see reference codes at the end of file):
!
! * Chemical kinetics:           NIST
! * Earth atmosphere:            1997DEM, 1997ATK, 2004ATK, 2006ATK, 2020BUR
! * Combustion:                  1984HAN, 1986TSA, 1987TSA, 1988TSA,1990TSAa,1991TSAa,1991TSAb,1992TSAa, 1992BAU, 1994BAU,GRI-Mech, 2000DEA,2001KONa, 2005BAU, 2013ZHO, 2017SON
! * Exoplanet atmospheres:       2002MOS, 2012VEN, 2016MOS, 2016ZAH, 2021HOB, 2021TSA, 2022JAZ, 2024KIE
! * Interstellar/circumstellar : 2004SMI, 2006AGU, 2017VID, 2017LOI, 2024MIL
!
! In general, for pressure-dependent reactions we give preference to the three-body reaction over the thermal decomposition. The reason is that thermal decompositions are measured at high temperatures
! and dissociation energies are large, meaning that when extrapolating to room temperature, the rate coefficient of the reverse three-body reaction may be wrong by many orders of magnitude.
! As an example, for the reaction CN + M -> C + N + M, using k0(CN+M->C+N+M)=4.15e-10*exp(-71000/T) [4060-6060 K] yields correct values for k0(C+N+M->CN+M) in the range 4060-6060 K but too high values at 298 K.
!
! Each line contains the chemical reaction and the relevant chemical kinetics information in different blocks separated by the ":" character.
!
!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                                                                                                                                                                    !
! Bimolecular reactions                                                                                                                                                                                              !
!                                                                                                                                                                                                                    !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!
! + Rate coefficient:             alpha, beta, gamma
! + Temperature validity range:   Tmin, Tmax
! + Error:                        E
! + Data source:                  Reference
!
! * The rate coefficient (in cgs units) is computed as (where T is the kinetic temperature in degrees Kelvin):
!
!         k = alpha * (T/300)^beta * exp(-gamma/T).
!
! * Tmin and Tmax give the temperature range of validity of the rate coefficient. It can be extrapolated adopting some safety rules to avoid unreasonably high values (see below).
! * E is the estimated error in the rate coefficient, which is as follows:
!
!         A : better than a factor of 2
!         B : between a factor of 2 and 10
!         C : worse than a factor of 10
!
! Reference gives the source for the chemical kinetics information. References are coded as in NIST (see end of file).
!
!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                                                                                                                                                                    !
! Pressure-dependent reactions                                                                                                                                                                                       !
!                                                                                                                                                                                                                    !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!
! + Low-pressure rate coefficient and temperature validity range:    alpha_0,   beta_0,   gamma_0,   Tmin_0,   Tmax_0
! + High-pressure rate coefficient and temperature validity range:   alpha_inf, beta_inf, gamma_inf, Tmin_inf, Tmax_inf
! + Fc and temperature validity range:                               A, B, Tmin_fc, Tmax_fc
! + Collider:                                                        M
! + Error:                                                           E
! + Data source:                                                     Reference
!
! * The rate coefficient (in cgs units) is computed as (where T is the kinetic temperature in degrees Kelvin):
!
!         k0   = alpha_0   * (T/300)^beta_0   * exp(-gamma_0/T)      Low-pressure limit.
!         kinf = alpha_inf * (T/300)^beta_inf * exp(-gamma_inf/T)    High-pressure limit.
!         Fc   = A + B * T                                           We use a simple linear dependence of Fc with T as in 1992TSAa (author quotes that error is no more than a factor of 1.2)
!                                                                    Do not extrapolate Fc outside valid temperature range. That is, use Fc(Tmin) for T<Tmin and Fc(Tmax) for T>Tmax.
!
!         k = [k0 * [M] * kinf] / [k0 * [M] + kinf] * F, 
!         or
!         k = kinf * [Pr / (1 + Pr)] * F                             where Pr = k0 * [M] / kinf
!
!    To evaluate F, we use the Troe formalism (where log stands for decimal logarithm):
!
!         log(F) = [log(Fc)] / [ 1 + ([log(Pr) + c] / [N - d * {log(Pr) + c}])^2]
!         c = -0.4 - 0.67 * log(Fc)
!         N = 0.75 - 1.27 * log(Fc)
!         d = 0.14
!
!    Note that sometimes a different expression of Fc is used in the literature. For example, 2005BAU uses a simpler expression:
!         log(F) = [log(Fc)] / [ 1 + (log(Pr) / N)^2]                which is consistent with the Troe one within 10 per cent.
!
!    If Fc is not available, the Lindemann-Hinshelwood formalism could be used (F = 1). However, we recommendd to adopt
!
!         Fc = 0.5, which is the average Fc value after examination of around 50 reactions.
!         
!    This value is also in line with theoretical expectations, where Fc values are predicted as a function of r (total number of rotational degrees of freedom of A+B in reaction A+B+M->AB+M):
!         r  =    3     4     5     6
!         Fc = 0.49  0.44  0.39  0.35   ! 2006ATK
!         Fc = 0.57  0.51  0.46  0.42   ! Eq (27) of Cobos & Troe (2003), although note that this is F^SC_cent, which is not exactly Fc
!
!
!    If only k0 (or kinf) is available, the missing rate coefficient kinf (or k0) can be crudely estimated using the expression:
!
!         k0/kinf = 10^(-20.8 + 1.6 * N_C) cm3 * (T/300)^(-2)        where N_C is the number of carbon atoms involved in the reaction (dependence with N_C inspired in 2012VUI)
!                                                                    Expression estimated using around 80 termolecular reactions with accurately known expressions for k0 and kinf (errors A or B)
!
!    If collider M is known, enhanced efficiencies are taken into account as follows (where these values are obtained from inspection of around a dozen of reactions and from GRI-Mech):
!
!         N2      1.00
!         Ar      0.70
!         He      0.70
!         H2      2.00
!         CO2     2.00
!         CO      1.50
!         CH4     2.00
!         H2O     6.00
!
!    For simplicity, for any other collider the efficiency can be set arbitrarily to 1.00.
!    If collider M is not known, for simplicity no selective collider efficiencies are adopted (that is, efficiencies are 1.00 for any collider).
!
!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                                                                                                                                                                    !
! Safety rules                                                                                                                                                                                                       !
!                                                                                                                                                                                                                    !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!
!    Upper limits for rate coefficients to prevent from unreasonably high values when extrapolating outside valid temperature range or when computing rate coefficients for reverse reactions:
!
!         unimolecular:   no upper limit                    maximum value is for reaction OH + CH3 + (M) = H + CH3O + (M), where kinf(3000 K) = 7.8e18 s-1 according to 2007JASc, for the rest of reactions k does not exceed 1e15 s-1
!         bimolecular:    2e-9 cm3 s-1                      maximum reported value for a bimolecular rate coefficient is 1.9e-9 cm3 s-1, for C + C5H6 (1993HAIb)
!         termolecular:   10^(-29.5 + 2.15 * N_C) cm6 s-1   where N_C is the number of carbon atoms involved in the reaction, expression (inspired in 2012VUI) obtained after examination of the maximum rate coefficient over valid temperature range for around 160 reactions
!
!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                                                                                                                                                                    !
! Chemical network                                                                                                                                                                                                   !
!                                                                                                                                                                                                                    !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!
!                                                       alpha      beta      gamma     Tmin     Tmax   E  Reference
!------------------------------------------------- ................................ ----------------- ... ---------
!
! Bimolecular reactions
!
 H + CH = C + H2                                  :  2.00E-10     0.000        0.0 :   1500     2500 : A : 2005BAU
 H + CH2 = CH + H2                                :  2.00E-10     0.000        0.0 :    298     3000 : A : 2005BAU
 H + CH2_1 = CH + H2                              :  5.00E-11     0.000        0.0 :    300     2500 : B : 1986TSA
 H + CH3 = CH2 + H2                               :  1.80E-11     1.200     6410.0 :     50     3500 : A : fit to 2019PEA (50-400 K) and 2018GLA (298-3500 K)
 H + CH4 = CH3 + H2                               :  1.60E-12     2.500     4825.0 :    350     2500 : A : 2005BAU
 H + C2H3 = C2H2 + H2                             :  7.00E-11     0.000        0.0 :    300      300 : A : 2005BAU
 H + C2H4 = C2H3 + H2                             :  3.60E-13     3.620     5670.0 :    400     2000 : A : 2005BAU, agrees with recent experiment 2019SHAa (1619-1948 K)
 H + C2H5 = CH3 + CH3                             :  7.00E-11     0.000        0.0 :    298     2000 : A : 2005BAU
 H + C2H5 = C2H4 + H2                             :  1.80E-11     0.687     -320.0 :    300     2500 : B : 2020WU
 H + C2H6 = C2H5 + H2                             :  1.63E-10     0.000     4640.0 :    298     1500 : A : 2005BAU, better than 2012SIV around 298 K, within a factor of 2 of estimate from reverse [1986TSA, 4.20E-15/3.600/4250.0, 300-2500 K]
 H + C3H = C3 + H2                                :  6.00E-11     0.000        0.0 :     10      300 : C : 2017LOI
 H + C3H2 = C3H + H2                              :  1.00E-10     0.000      630.0 :   2800     4300 : C : 1993KIE, estimation, slightly endothermic for c-C3H2 (5.25 kJ/mol at 298 K), Ae set to endothermicity
 H + C3H3 = C3H2 + H2                             :  1.00E-10     0.000        0.0 :   2800     4300 : C : 1993KIE, estimation
 H + CH3CCH = CH3 + C2H2                          :  2.60E-10     0.000     3150.0 :    870     1400 : A : fit to 2010ROS (870-1145 K) and 2007BEN (1200-1400 K), factor of 2 higher than estimation from reverse [fit to 2002KIS (800-1000 K) and 2013PEUb (1127-1346 K), 1.00E-14/2.850/4040.0, 800-1346 K]
 H + CH3CCH = C3H3 + H2                           :  2.00E-10     0.000     4940.0 :    870     1400 : A : fit to 2010ROS (870-1145 K) and 2007BEN (1200-1400 K), agrees exactly with 2010ROS
 H + CH3CCH = H + CH2CCH2                         :  3.40E-10     0.000     3750.0 :    900     1041 : A : 2010ROS
 H + CH2CCH2 = C3H3 + H2                          :  5.10E-13     3.095     2780.0 :    300     2500 : B : 2008MIL
 H + C3H5 = CH3CCH + H2                           :  1.50E-11     0.000        0.0 :    300     2500 : B : 1991TSAa, assumed branching ratio 0.5
 H + C3H5 = CH2CCH2 + H2                          :  1.50E-11     0.000        0.0 :    300     2500 : B : 1991TSAa, assumed branching ratio 0.5
 H + C3H6 = C3H5 + H2                             :  4.50E-13     2.500     1254.0 :    500     2500 : A : 1991TSAa, in line with 2011ROS (1061-1200 K)
 H + C3H6 = CH3 + C2H4                            :  8.00E-11     0.000     2081.0 :    922     1080 : A : 2011ROS
 H + C3H7 = C3H6 + H2                             :  6.00E-12     0.000        0.0 :    300     2500 : B : 1988TSA (C3H7 = i-C3H7)
 H + C3H7 = CH3 + C2H5                            :  4.80E-11     0.690     2750.0 :    300     2500 : B : fit to complex expression in 1988TSA p 932 (C3H7 = i-C3H7)
 H + C3H8 = C3H7 + H2                             :  1.90E-12     2.400     2250.0 :    300     2500 : A : 1988TSA (C3H7 = i-C3H7, based on experimental data), better than reverse [2005BAU based on 1988TSA, 1.70E-15/3.280/4360.0, 300-1200 K]; k from reverse is within a factor 5 using i-C3H7 NASA therm data (based on Tsang 1985) and abnormally high using i-C3H7 Burcat therm data
 H + C4H = C4 + H2                                :  3.30E-11     0.000     4320.0 :   1600     3500 : C : 1992KIE, endothermic by 35.9 kJ/mol at 298 K, Ae set to endothermicity
 H + C4H3 = C2H2 + C2H2                           :  5.30E-14     2.220     4560.0 :    600     2500 : A : 2017ZAD (C4H3 = CH2CCCH)
 H + C4H3 = C4H2 + H2                             :  1.40E-14     3.680     3145.0 :    600     2500 : A : 2017ZAD (C4H3 = CH2CCCH)
 H + C4H4 = C4H3 + H2                             :  1.70E-11     0.000     4880.0 :   1400     1500 : B : 1988GHI
 H + C4H5 = C4H4 + H2                             :  2.00E-11     0.000        0.0 :    300     3000 : C : 2016MOS, estimation
 H + C4H7 = C4H6 + H2                             :  1.00E-11     0.000        0.0 :     50      200 : C : 2016DOB, estimation
 H + C4H6 = C4H5 + H2                             :  9.20E-12     2.320     5820.0 :    298     2000 : B : 2017LIa (C4H6 = 1,3-C4H6; C4H5 = i-C4H5, CH2CHCCH2)
 H + C4H8 = CH3 + C3H6                            :  2.85E-11     0.000     1808.0 :   1000     1180 : A : 1989TSA (C4H8 = i-C4H8)
 H + C4H8 = C4H7 + H2                             :  2.85E-10     0.000     4024.0 :   1000     1180 : A : 1989TSA (C4H8 = i-C4H8, C4H7 = CH2CCH3CH2 only isomer produced)
 H + C4H9 = C4H8 + H2                             :  9.00E-12     0.000        0.0 :    300     2500 : B : 1990TSAa (C4H9 = t-C4H9, C4H8 = i-C4H8)
 H + C4H9 = CH3 + C3H7                            :  4.85E-11     1.220     4590.0 :    300     2500 : B : fit to complex expression in 1990TSAa (C4H9 = t-C4H9, C3H7 = i-C3H7)
 H + C4H10 = C4H9 + H2                            :  8.80E-13     2.400     1300.0 :    300     2500 : A : 1990TSAa (C4H10 = i-C4H10, C4H9 = t-C4H9), in line with 2018MER (870-1130 K); k from reverse [1990TSAa, 1.00E-15/4.240/4510.0, 300-2500 K] is within a factor 3
 H + C5H3 = C3H2 + C2H2                           :  2.60E-11     0.500        0.0 :    300     3000 : C : 2016MOS, estimation
 H + C5H4 = C5H3 + H2                             :  2.60E-12     2.500     2500.0 :    900     1400 : C : 2000ALZ, estimation
 H + C5H6 = C3H5 + C2H2                           :  3.30E-04    -4.740    17235.0 :    500     2500 : B : 2020MAO, better than k from reverse [1991TSAa, 6.60E-10/0.000/12526.0, 300-2500 K], which is probably too high at 2500 K (1e-9 cm3 s-1)
 H + C5H6 = C3H3 + C2H4                           :  8.45E-08    -2.210    21380.0 :    500     2500 : B : 2020MAO
 H + C5H6 = CH3 + C4H4                            :  7.40E-06    -6.470    31850.0 :    500     2500 : B : 2020MAO
 H + C5H6 = C2H3 + CH2CCH2                        :  6.90E-05    -5.590    30590.0 :    500     2500 : B : 2020MAO
 H + C5H6 = C2H3 + CH3CCH                         :  5.90E-07    -5.720    32450.0 :    500     2500 : B : 2020MAO
 H + C5H6 = C5H5 + H2                             :  9.90E-13     2.350     1200.0 :    300     2500 : B : 2020MAF
 H + C6H3 = C6H2 + H2                             :  5.20E-11     0.500        0.0 :    300     3000 : C : 2016MOS, estimation
 H + C6H3 = C2H2 + C4H2                           :  4.30E-09    -1.600     1409.0 :    300     3000 : C : 2016MOS, from estimation by 1997WAN
 H + C6H5 = C6H4 + H2                             :  3.00E-12     2.000      500.0 :    900     1400 : C : 2000ALZ, estimation
 C + CH = C2 + H                                  :  1.20E-11     0.170      -50.0 :     50      500 : B : 2001TAN
 C + CH2 = C2H + H                                :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + CH2 = CH + CH                                :  2.70E-12     0.000    23550.0 :   1000     4000 : B : 1967MAY
 C + CH3 = C2H2 + H                               :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + CH4 = H + C2H3                               :  1.00E-11     0.000     6140.0 :    300     2500 : C : 2003KIM, Ae = 12.2 kcal/mol, guess pre-exponential factor
 C + CH4 = CH + CH3                               :  1.00E-11     0.000    13530.0 :    300     2500 : C : 2003KIM, Ae = 26.9 kcal/mol, guess pre-exponential factor
 C + C2H = C3 + H                                 :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + C2H2 = H + C3H                               :  1.20E-11     1.080        0.0 :     52      296 : A : 2016HIC, fit to sum k(1a)+k(1b), (C3H = l-C3H + c-C3H)
 C + C2H2 = C3 + H2                               :  1.70E-10    -0.080        0.0 :     52      296 : A : 2016HIC
 C + C2H3 = C3H2 + H                              :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI, most favorable channel (2001NGU, 2012WIL)
 C + C2H4 = C3H3 + H                              :  1.95E-10     0.000        0.0 :     15      298 : A : k_total (2001BER, agrees with 1993HAIa, nearly T-independent down to 15 K 1999CHAa), branching ratio 0.93 (2001BER, 2018MAN)
 C + C2H4 = CH2 + C2H2                            :  1.50E-11     0.000        0.0 :     15      298 : A : k_total (2001BER, agrees with 1993HAIa, nearly T-independent down to 15 K 1999CHAa), branching ratio 0.07 (2001BER, 2018MAN)
 C + C2H5 = CH3CCH + H                            :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + C2H5 = CH2CCH2 + H                           :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + C3H = C4 + H                                 :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + C3H2 = C4H + H                               :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + C3H3 = C4H2 + H                              :  1.00E-10     0.000        0.0 :     10      300 : C : 2004SMI
 C + CH3CCH = C4H3 + H                            :  2.70E-10    -0.110        0.0 :     15      295 : A : 2000CHA, main channel (2004LOI)
 C + CH2CCH2 = C4H3 + H                           :  3.50E-10    -0.010        0.0 :     15      295 : A : 2000CHA, main channel (2004LOI)
 C + C3H5 = C4H4 + H                              :  1.00E-10     0.000        0.0 :     10      300 : B : k_total (2017LOI), barrierless and branching ratio 0.50 (2003NGU)
 C + C3H5 = C2H3 + C2H2                           :  1.00E-10     0.000        0.0 :     10      300 : B : k_total (2017LOI), barrierless and branching ratio 0.50 (2003NGU)
 C + C3H6 = C4H5 + H                              :  1.50E-10    -0.080        0.0 :     15      295 : A : 1999CHAa, branching ratio 0.51 (2004LOI)
 C + C3H6 = C3H3 + CH3                            :  1.40E-10    -0.080        0.0 :     15      295 : A : 1999CHAa, branching ratio 0.49 (2004LOI)
 C + C3H7 = C4H6 + H                              :  1.60E-10     0.000        0.0 :     10      300 : C : 2017LOI
 C + C3H7 = CH3 + CH2CCH2                         :  4.00E-11     0.000        0.0 :     10      300 : C : 2017LOI
 C + C4 = C2 + C3                                 :  1.00E-13     0.000        0.0 :     10      300 : C : 2004SMI
 C + C4H4 = H + C5H3                              :  3.00E-10     0.000        0.0 :     10      300 : B : guess, barrierless (2011PAR)
 C + C4H6 = H + C5H5                              :  1.00E-10     0.000        0.0 :     10      300 : C : 2022CER, estimation
