Reactions included in the STAND2020 chemical network,
compiled from Sources (A) and (B).

Source (A):
================================================================================
Title: A Chemical Kinetics Network for Lightning 
       and Life in Planetary Atmospheres 
Authors: Rimmer P.B., Helling C. 
Table: Stand2015 Chemical Kinetics Network
--------------------------------------------------------------------------------

Source (B):
================================================================================
Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
--------------------------------------------------------------------------------

================================================================================
Byte-by-byte Description of file
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 51 A38    ---     Reaction  Reaction
  52- 59 E8.2   ---     alpha     The {alpha} value
  61- 65 A5     ---   u_alpha     alpha units
  67- 72 F5.2   ---     beta      The {beta} value
  74- 81 F7.1   K       Ea        Ea (1)
  83- 86 A21    ---     Ref       Reference (2)
  87- 89 A3     ---     Flag      Flag (3)
--------------------------------------------------------------------------------

Note (1): Rate-constants --
    Rate constants for two-body reactions are calculated from alpha, beta, and 
    gamma according to the Kooij equation, with temperature normalised by 300K 
    in the beta term (consult Source (A): Section 2.1 on how the reaction 
    barrier is calculated). 

    Rate constants for reactions involving a third body follow the Lindemann 
    form. The reaction is first listed in the the network with alpha, beta, and 
    gamma values that correspond to the rate-constant in the low-pressure limit. 
    The reaction is then repeated with alpha, beta, and gamma values that 
    correspond to the rate-constant in the high-pressure limit (consult Source(A): 
    Section 2.2 on how the reaction barrier is calculated).

    * = Consult Source (A): Section 2.3 on how the reaction barrier is calculated.

Note (2): References --
     1 =  Kruse and Roth (1997);
     2 =  Dean and Hanson (1992);
     3 =  Tsang (1992);
     4 =  Mick et al. (1993);
     5 =  Baulch et al. (1992);
     6 =  Deppe et al. (1998);
     7 =  Tsang and Hampson (1986);
     8 =  Thielen and Roth (1986);
     9 =  Myerson (1973);
    10 =  Javoy et al. (2003);
    11 =  De Cobos and Troe (1984);
    12 =  Bauerle et al. (1995);
    13 =  Husain and Young (1975);
    14 =  Lin et al. (1992);
    15 =  Wagner and Bowman (1987);
    16 =  Mertens and Hanson (1996);
    17 =  Eremin et al. (1997);
    18 =  Tsang and Herron (1991);
    19 =  Ross et al. (1997);
    20 =  Fulle and Hippler (1997);
    21 =  Moses  et al. (2005);
    22 =  Yumura and Asaba (1981);
    23 =  Hanson and Salimian (1984);
    24 =  Graham and Johnston (1978a);
    25 =  Bozzelli and Dean (1995);
    26 =  Natarajan et al. (1986);
    27 =  Troe (2005);
    28 =  Wu et al. (1990);
    29 =  Lifshitz et al. (1997);
    30 =  Baulch et al. (2005);
    31 =  Vuitton et al. (2012);
    32 =  Atkinson et al. (2004);
    33 =  Baulch et al. (1994);
    34 =  Meyer et al. (1969);
    35 =  Dorko et al. (1979);
    36 =  Klatt et al. (1995);
    37 =  Schulz et al. (1985);
    38 =  Fernandes et al. (2005);
    39 =  Dean (1985);
    40 =  Li et al. (2006);
    41 =  Frank et al. (1988);
    42 =  Kiefer et al. (1988);
    43 =  Kern et al. (1988);
    44 =  Yang et al. (2005);
    45 =  Warnatz(1984);
    46 =  Chang and Yu (1995);
    47 =  Cribb et al. (1992);
    48 =  Setser and Rabinovitch (1962);
    49 =  Chang et al. (2007);
    50 =  Saito et al. (1984);
    51 =  Ikeda and Mackie (1996);
    52 =  Wakamatsu and Hidaka (2008);
    53 =  O'Neal and Benson (1962);
    54 =  Atkinson et al. (1997);
    55 =  Huynh and Violi (2008);
    56 =  Dombrowsky et al. (1991);
    57 =  Koike et al. (2000);
    58 =  Ing et al. (2003);
    59 =  Yasunaga et al. (2008);
    60 =  Herron (1999);
    61 =  Lifshitz and Tamburu (1998);
    62 =  Lifshitz et al. (1993);
    63 =  Oehlschlaeger et al. (2004);
    64 =  Saito et al. (1990);
    65 =  Lee and Bozzelli (2003);
    66 =  Miller et al. (2004);
    67 =  Friedrichs et al. (2008);
    68 =  Joshi et al. (2005);
    69 =  Almatarneh et al. (2005);
    70 =  Zaslonko et al. (1997);
    71 =  Fernandez-Ramos et al. (1998);
    72 =  Zaslonko et al. (1993);
    73 =  Tsang(2004);
    74 =  Cook et al. (2009);
    75 =  Imai and Toyama (1962);
    76 =  Hinshelwood and Askey (1927);
    77 =  Hunt et al. (1965);
    78 =  Sheng et al. (2002);
    79 =  DeSain et al. (2003);
    80 =  Chuchani et al. (1993);
    81 =  Petrov et al. (2009);
    82 =  Batt and Rattray (1979);
    83 =  Blake and Jackson (1969);
    84 =  Duan and Page (1995);
    85 =  Spokes and Benson (1967);
    86 =  Glanzer and Troe (1973);
    87 =  Levy(1956);
    88 =  Batt et al. (1975);
    89 =  Li et al. (2004);
    90 =  Natarajan and Bhaskaran (1981);
    91 =  Arenas et al. (2000);
    92 =  Zalotai et al. (1983);
    93 =  Lifshitz and Tamburu (1994);
    94 =  Sato and Hidaka (2000);
    95 =  Hoyermann et al. (1999);
    96 =  Zhang et al. (2005);
    97 =  Zhang et al. (2004);
    98 =  Curran(2006);
    99 =  Patrick and Golden (1984); 
   100 =  Lavvas  et al. (2014);
   101 =  Baulch et al. (1981);
   102 =  Crosley(1989);
   103 =  Kretschmer and Petersen (1963);
   104 =  Fehsenfeld et al. (1974);
   105 =  Smith et al. (1982);
   106 =  Raksit and Warneck (1979);
   107 =  Adams and Smith (1977);
   108 =  Ferguson and Fehsenfeld (1968);
   109 =  Graham et al. (1973);
