100
# species file used in García Muñoz, A&A, 2025
# Columns:
#  1: Species.
#  2: Charge.
#  3: cv coefficient, to determine the internal (=translational+rotational) energy, as cv n_s T
#  4 + 5: Formation energy [eV].
#  6: Statistical weight.
#  7: Polarizability [cm^3].
#  8 & 9: # Nuclei of H and He.
#
 'em'      -1  1.5  0.0     00.0000  2. 0.        0  0
 'h_01'     0  1.5  2.2387  00.0000  2. 0.67e-24  1  0
 'h_2s'     0  1.5  2.2387  10.1988  2. 1.00e-24  1  0
 'h_2p'     0  1.5  2.2387  10.1988  6. 1.00e-24  1  0
 'h_03'     0  1.5  2.2387  12.0875 18. 1.00e-24  1  0
 'h_04'     0  1.5  2.2387  12.7485 32. 1.00e-24  1  0
 'h_05'     0  1.5  2.2387  13.0545 50. 1.00e-24  1  0
 'h_06'     0  1.5  2.2387  13.2207 72. 1.00e-24  1  0
 'hp'       1  1.5  2.2387  13.5984  1. 0.        1  0
 'h2'       0  2.5  0.0     00.0000  0. 0.82e-24  2  0
 'h3p'      1  3.0 11.4732  00.0000  0. 0.        3  0
 'h2p'      1  2.5 15.4251  00.0000  0. 0.        2  0
 'he_1_1s'  0  1.5  0.0     00.0000  1. 0.21e-24  0  1
 'he_2_3s'  0  1.5  0.0     19.8195  3. 0.21e-24  0  1
 'he_2_1s'  0  1.5  0.0     20.6157  1. 0.21e-24  0  1
 'he_2_3p'  0  1.5  0.0     20.9641  9. 0.21e-24  0  1
 'he_2_1p'  0  1.5  0.0     21.3181  3. 0.21e-24  0  1
 'hep_1_2s' 1  1.5  24.5874 00.0000  2. 0.000000  0  1
 'hehp'     1  2.5  14.0269 00.0000  1. 0.000000  1  1
 
 
