Reaction                                          	Hu        	Agundez   	VULCAN    	stand     	velliet   	MOSES     
H + H2O = H2 + OH                                 	0001      	0000      	0000      	0045      	0000      	0031      
H + H2O2 = OH + H2O                               	0002      	0023      	0009      	0050      	0033      	0050      
H + H2O2 = H2 + HO2                               	0003      	0022      	0008      	0051      	0034      	0048      
H + HO2 = OH + OH                                 	0004      	0017      	0010      	0047      	0038      	0042      
H + HO2 = O + H2O                                 	0005      	0018      	0011      	0046      	0000      	0040      
H + HO2 = H2 + O2                                 	0006      	0019      	0012      	0048      	0039      	0044      
H + O2 = O + OH                                   	0007      	0000      	0000      	0044      	0026      	0017      
H + O3 = OH + O2                                  	0008      	0024      	0005      	0049      	0000      	0000      
H2 + HO2 = H2O2 + H                               	0009      	0000      	0000      	0000      	0000      	0049      
HO2 + HO2 = H2O2 + O2                             	0010      	0021      	0018      	0082      	0043      	0046      
HO2 + O3 = OH + O2 + O2                           	0011      	0020      	0013      	0065      	0000      	0000      
O + H2 = H + OH                                   	0012      	0001      	0002      	0000      	0024      	0012      
O + H2O2 = OH + HO2                               	0013      	0004      	0014      	0056      	0035      	0020      
O + HO2 = OH + O2                                 	0014      	0003      	0015      	0054      	0040      	0018      
O + O3 = O2 + O2                                  	0015      	0005      	0006      	0055      	0000      	0000      
O + OH = O2 + H                                   	0016      	0002      	0004      	0079      	0000      	0016      
O(1D) + H2 = H + OH                               	0017      	0006      	0019      	0070      	0045      	0022      
O(1D) + H2O = OH + OH                             	0018      	0007      	0020      	0071      	0046      	0024      
O(1D) + O2 = O + O2                               	0019      	0000      	0021      	0067      	0000      	0000      
O(1D) + O3 = O2 + O2                              	0020      	0008      	0022      	0068      	0000      	0000      
O(1D) + O3 = O2 + O + O                           	0021      	0009      	0023      	0069      	0000      	0000      
OH + H2 = H2O + H                                 	0022      	0010      	0001      	0080      	0025      	0030      
OH + H2O2 = H2O + HO2                             	0023      	0014      	0016      	0062      	0036      	0038      
OH + HO2 = H2O + O2                               	0024      	0013      	0017      	0060      	0041      	0036      
OH + O3 = HO2 + O2                                	0025      	0015      	0007      	0061      	0000      	0000      
OH + OH = H2O + O                                 	0026      	0011      	0000      	0081      	0000      	0032      
H + H + M = H2 + M                                	0027      	0028      	0025      	0001      	0000      	0008      
H + O + M = OH + M                                	0028      	0029      	0026      	0003      	0017      	0010      
H + O2 + M = HO2 + M                              	0029      	0034      	0029      	0011      	0014      	0026      
H + OH + M = H2O + M                              	0031      	0032      	0027      	0009      	0016      	0028      
HO2 + HO2 + M = H2O2 + O2 + M                     	0032      	0000      	0030      	0000      	0000      	0000      
O + O + M = O2 + M                                	0033      	0030      	0032      	0005      	0015      	0014      
O + O2 + M = O3 + M                               	0034      	0031      	0028      	0007      	0000      	0000      
OH + OH + M = H2O2 + M                            	0035      	0033      	0031      	0013      	0000      	0034      
O3 + T = O2 + O                                   	0037      	0000      	0000      	0000      	0000      	0000      
HO2 + T = O2 + H                                  	0038      	0000      	0000      	0000      	0000      	0000      
H2O2 + T = OH + OH                                	0039      	0000      	0000      	0000      	0000      	0000      
OH + OH = O2 + H2                                 	0000      	0012      	0000      	0000      	0000      	0000      
O2 + H2 = O + H2O                                 	0000      	0016      	0000      	0000      	0000      	0000      
O3 + H2O2 = O2 + O2 + H2O                         	0000      	0025      	0000      	0000      	0000      	0000      
O3 + O3 = O2 + O2 + O2                            	0000      	0026      	0000      	0057      	0000      	0000      
He = He                                           	0000      	0027      	0024      	0000      	0000      	0000      
O(1D) + M = O + M                                 	0000      	0035      	0000      	0000      	0023      	0000      
O + H2O = OH + OH                                 	0000      	0000      	0003      	0052      	0027      	0033      
H2O = H2O(ls)                                     	0000      	0000      	0033      	0000      	0000      	0000      
H2O = H + OH                                      	0000      	0000      	0034      	0165      	0001      	0005      
H2O = H2 + O(1D)                                  	0000      	0000      	0035      	0166      	0002      	0007      
H2O = H + H + O                                   	0000      	0000      	0036      	0167      	0003      	0006      
H2 = H + H                                        	0000      	0000      	0037      	0153      	0012      	0001      
OH = H + O                                        	0000      	0000      	0038      	0161      	0005      	0004      
O2 = O + O                                        	0000      	0000      	0039      	0156      	0008      	0002      
O2 = O + O(1D)                                    	0000      	0000      	0040      	0157      	0009      	0003      
O3 = O2 + O                                       	0000      	0000      	0041      	0173      	0000      	0000      
O3 = O2 + O(1D)                                   	0000      	0000      	0042      	0000      	0000      	0000      
HO2 = O + OH                                      	0000      	0000      	0043      	0172      	0007      	0000      
H2O2 = OH + OH                                    	0000      	0000      	0044      	0175      	0011      	0000      
H4O2 + M = H2O + H2O + M                          	0000      	0000      	0000      	0015      	0000      	0000      
OH + O2 + M = HO3 + M                             	0000      	0000      	0000      	0017      	0000      	0000      
H^+ + H2 + M = H3^+ + M                           	0000      	0000      	0000      	0019      	0000      	0000      
H3^+ + O2 + M = H3O2^+ + M                        	0000      	0000      	0000      	0021      	0000      	0000      
He^+ + He + M = He2^+ + M                         	0000      	0000      	0000      	0023      	0000      	0000      
H + M = H^+ + e^- + M                             	0000      	0000      	0000      	0025      	0000      	0000      
O + M = O^+ + e^- + M                             	0000      	0000      	0000      	0027      	0000      	0000      
H2 + M = H2^+ + e^- + M                           	0000      	0000      	0000      	0029      	0000      	0000      
HO + M = HO^+ + e^- + M                           	0000      	0000      	0000      	0031      	0000      	0000      
He + M = He^+ + e^- + M                           	0000      	0000      	0000      	0033      	0000      	0000      
O2 + M = O2^+ + e^- + M                           	0000      	0000      	0000      	0035      	0000      	0000      
H2O + M = H2O^+ + e^- + M                         	0000      	0000      	0000      	0037      	0000      	0000      
HO2 + M = HO2^+ + e^- + M                         	0000      	0000      	0000      	0039      	0000      	0000      
H2O2 + M = H2O2^+ + e^- + M                       	0000      	0000      	0000      	0041      	0000      	0000      
H + HO = H2 + O                                   	0000      	0000      	0000      	0043      	0000      	0013      
O + H2O = H2 + O2                                 	0000      	0000      	0000      	0053      	0000      	0000      
H2 + O2 = HO + HO                                 	0000      	0000      	0000      	0058      	0000      	0000      
H2 + H2O2 = HO + HO + H2                          	0000      	0000      	0000      	0059      	0000      	0000      
O2 + H2O2 = HO2 + HO2                             	0000      	0000      	0000      	0063      	0000      	0047      
HO2 + HO2 = H2 + O2 + O2                          	0000      	0000      	0000      	0064      	0000      	0000      
HO2 + H2O2 = H2O + HO + O2                        	0000      	0000      	0000      	0066      	0000      	0000      
O(1S) + O2 = O + O2                               	0000      	0000      	0000      	0072      	0000      	0000      
O(1S) + O3 = O2 + O2                              	0000      	0000      	0000      	0073      	0000      	0000      
O(1S) + O3 = O2 + O + O                           	0000      	0000      	0000      	0074      	0000      	0000      
O(1S) + H2O = HO + HO                             	0000      	0000      	0000      	0075      	0000      	0000      
O(1S) + H2 = HO + H                               	0000      	0000      	0000      	0076      	0000      	0000      
O2(a1Deltag) + O3 = O2 + O2 + O                   	0000      	0000      	0000      	0077      	0000      	0000      
O2(a1Deltag) + H2O = O2 + H2O                     	0000      	0000      	0000      	0078      	0000      	0000      
