 H          O2                                          OOH                                                     4.300e-32 -1.230e+00  0.000e+00  2.000e+00  1.000e+02  9.498e-11  4.400e-01  0.000e+00  2.000e+00  1.000e+02  6.700e-01  1.000e-30  1.000e+30  1.000e+30  1.300e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  5.000e-01  1.000e+00  1.000e+00  1.000e+00  6.400e-01  1.000e+01  1.000e+00  3.000e+00  3.800e+00  1.900e+00  1.000e+00
 CO         O3P                                         CO2                                                     3.969e-31 -2.790e+00  2.109e+03  2.000e+00  1.000e+02  2.262e-14  0.000e+00  1.200e+03  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.200e+01  1.000e+00  1.000e+00  3.600e+00  1.750e+00  1.000e+00
 CH3        H                                           CH4                                                     1.105e-26 -4.760e+00  1.228e+03  2.000e+00  1.000e+02  5.801e-10 -6.300e-01  1.927e+02  2.000e+00  1.000e+02  7.830e-01  7.400e+01  2.941e+03  6.964e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 3CH2       H                                           CH3                                                     1.471e-28 -3.140e+00  6.190e+02  2.000e+00  1.000e+02  4.330e-10 -8.000e-01  0.000e+00  2.000e+00  1.000e+02  6.800e-01  7.800e+01  1.995e+03  5.590e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 CH3        O2                                          CH3OO                                                   6.996e-31 -3.000e+00  0.000e+00  2.000e+00  1.000e+02  2.200e-12  9.000e-01  0.000e+00  2.000e+00  1.000e+02  6.000e-01  1.000e+03  7.000e+01  1.700e+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 HCO        H                                           H2CO                                                    1.602e-30 -2.570e+00  7.171e+02  2.000e+00  1.000e+02  2.797e-11  4.800e-01 -1.308e+02  2.000e+00  1.000e+02  7.824e-01  2.710e+02  2.755e+03  6.570e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 CO         H2                                          H2CO                                                    4.718e-29 -3.420e+00  4.245e+04  2.000e+00  1.000e+02  3.710e-13  1.500e+00  4.006e+04  2.000e+00  1.000e+02  9.320e-01  1.970e+02  1.540e+03  1.030e+04  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 H2CO       H                                           CH2OH                                                   4.023e-28 -4.820e+00  3.286e+03  2.000e+00  1.000e+02  1.195e-11  4.540e-01  1.812e+03  2.000e+00  1.000e+02  7.187e-01  1.030e+02  1.291e+03  4.160e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 CH3        CH3                                         C2H6                                                    1.141e-25 -3.750e+00  4.940e+02  2.000e+00  1.000e+02  7.386e-11 -6.900e-01  8.801e+01  2.000e+00  1.000e+02  0.000e+00  5.700e+02  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  5.000e+00  1.000e+00  1.000e+00  3.000e+00  2.000e+00  1.000e+00
 C2H5       H                                           C2H6                                                    1.590e-24 -7.080e+00  3.364e+03  2.000e+00  1.000e+02  3.053e-09 -9.900e-01  7.951e+02  2.000e+00  1.000e+02  8.420e-01  1.250e+02  2.219e+03  6.882e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 C2H4       H                                           C2H5                                                    1.379e-25 -6.642e+00  2.903e+03  2.000e+00  1.000e+02  6.686e-12  1.463e+00  6.819e+02  2.000e+00  1.000e+02 -5.690e-01  2.990e+02 -9.147e+03  1.524e+02  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 C2H3       H                                           C2H4                                                    1.059e-27 -3.860e+00  1.671e+03  2.000e+00  1.000e+02  4.710e-11  2.700e-01  1.409e+02  2.000e+00  1.000e+02  7.820e-01  2.075e+02  2.663e+03  6.095e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 C2H2       H                                           C2H3                                                    4.894e-28 -4.664e+00  1.902e+03  2.000e+00  1.000e+02  3.884e-11  1.266e+00  1.363e+03  2.000e+00  1.000e+02  7.880e-01 -1.020e+04  1.000e-30  1.000e+18  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 C2H        H                                           C2H2                                                    1.332e-26 -4.800e+00  9.561e+02  2.000e+00  1.000e+02  1.661e-07  0.000e+00  0.000e+00  2.000e+00  1.000e+02  6.460e-01  1.320e+02  1.315e+03  5.566e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 3CH2       CO                                          CH2CO                                                   1.630e-27 -5.110e+00  3.570e+03  2.000e+00  1.000e+02  1.345e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02  5.907e-01  2.750e+02  1.226e+03  5.185e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 C2H3       CH3                                         C3H6                                                    3.120e-19 -1.194e+01  4.916e+03  2.000e+00  1.000e+02  4.151e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02  1.750e-01  1.341e+03  6.000e+04  1.014e+04  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NH2        H                                           NH3                                                     4.336e-30 -1.760e+00  0.000e+00  2.000e+00  1.000e+02  2.657e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02  5.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO         H                                           HNO                                                     2.143e-33  2.060e-01 -7.800e+02  2.000e+00  1.000e+02  2.403e-10 -4.100e-01  0.000e+00  2.000e+00  1.000e+02  8.200e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.600e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO         O3P                                         NO2                                                     1.012e-30 -2.870e+00  7.800e+02  2.000e+00  1.000e+02  2.995e-11 -7.500e-01  0.000e+00  2.000e+00  1.000e+02  7.500e-01  1.000e+03  1.000e+05  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO         OH                                          HONO                                                    6.000e-31 -2.500e+00  0.000e+00  2.000e+00  1.000e+02  3.300e-11 -3.000e-01  0.000e+00  2.000e+00  1.000e+02  7.500e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO2        O3P                                         NO3                                                     1.327e-31 -1.500e+00  0.000e+00  2.000e+00  1.000e+02  2.285e-11  2.400e-01  0.000e+00  2.000e+00  1.000e+02  7.100e-01  1.000e-30  1.700e+03  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO2        OH                                          HNO3                                                    3.000e-30 -3.000e+00  0.000e+00  2.000e+00  1.000e+02  4.982e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02  4.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NH2        NH2                                         N2H4                                                    1.110e-27 -5.490e+00  9.999e+02  2.000e+00  1.000e+02  8.768e-11 -4.140e-01  3.321e+01  2.000e+00  1.000e+02  3.100e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH3        NO                                          CH3NO                                                   6.893e-32  0.000e+00 -1.430e+03  2.000e+00  1.000e+02  1.494e-11  0.000e+00  9.662e+01  2.000e+00  1.000e+02  5.000e+00  1.000e-30  1.200e+02  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH3O       NO                                          CH3NO2                                                  2.601e-29 -2.800e+00  0.000e+00  2.000e+00  1.000e+02  3.252e-11 -6.000e-01  0.000e+00  2.000e+00  1.000e+02  1.000e+00  1.000e-30  9.000e+02  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2H5O      NO                                          CH3CH2ONO                                               2.600e-28  0.000e+00  0.000e+00  2.000e+00  1.000e+02  1.993e-11  0.000e+00 -7.196e+01  2.000e+00  1.000e+02  6.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
