 OHV                                                    OH                                                      1.450e+06  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CHV                                                    CH                                                      1.860e+06  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2O2H                                                 H2CO       OH                                           9.000e+14  0.000e+00  7.548e+02  2.000e+00  1.000e+02
 HOCH2O                                                 HOCHO      H                                            1.000e+14  0.000e+00  7.498e+03  2.000e+00  1.000e+02
 OCH2O2H                                                HOCH2O2                                                 3.000e+11  0.000e+00  4.328e+03  2.000e+00  1.000e+02
 HOCHO                                                  CO         H2O                                          2.450e+12  0.000e+00  3.043e+04  2.000e+00  1.000e+02
 HOCHO                                                  CO2        H2                                           2.950e+09  0.000e+00  2.442e+04  2.000e+00  1.000e+02
 C2H5OOH                                                C2H5O      OH                                           6.310e+14  0.000e+00  2.129e+04  2.000e+00  1.000e+02
 cC2H4O                                                 CH3        HCO                                          3.630e+13  0.000e+00  2.878e+04  2.000e+00  1.000e+02
 cC2H4O                                                 CH3CHO                                                  7.407e+12  0.000e+00  2.707e+04  2.000e+00  1.000e+02
 C2H3O1-2                                               CH3CO                                                   8.500e+14  0.000e+00  7.045e+03  2.000e+00  1.000e+02
 C2H3O1-2                                               CH2CHO                                                  1.000e+14  0.000e+00  7.045e+03  2.000e+00  1.000e+02
 CH3COOOH                                               CH3CO2     OH                                           5.010e+14  0.000e+00  2.020e+04  2.000e+00  1.000e+02
 O2C2H4OH                                               1C2H4OH    O2                                           1.300e+14 -1.000e+00  1.510e+04  2.000e+00  1.000e+02
 HO2CH2OCHO                                             OCH2OCHO   OH                                           5.000e+16  0.000e+00  2.164e+04  2.000e+00  1.000e+02
 OCH2OCHO                                               HOCH2OCO                                                1.000e+11  0.000e+00  7.045e+03  2.000e+00  1.000e+02
 HOCH2OCO                                               CH2OH      CO2                                          1.853e+13 -1.526e+00  1.045e+04  2.000e+00  1.000e+02
 HOCH2OCO                                               HOCH2O     CO                                           3.961e+13 -1.965e+00  9.873e+03  2.000e+00  1.000e+02
 CH3OCH2O                                               CH3OCHO    H                                            3.376e+13  4.000e-03  1.315e+04  2.000e+00  1.000e+02
 CH3OCO                                                 CH2OCHO                                                 5.835e+11 -1.800e-01  2.047e+04  2.000e+00  1.000e+02
 NNH                                                    N2         H                                            1.000e+09  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 N2H4                                                   H2NN       H2                                           1.400e+14  0.000e+00  3.770e+04  2.000e+00  1.000e+02
 H2NN                                                   NNH        H                                            3.690e+14 -4.830e+00  2.326e+04  2.000e+00  1.000e+02
 H2NN                                                   N2         H2                                           2.500e+14  0.000e+00  2.656e+04  2.000e+00  1.000e+02
 H2NN                                                   N2H2                                                    1.300e+14  0.000e+00  2.362e+04  2.000e+00  1.000e+02
 CH3CN                                                  CH2CN      H                                            7.900e+14  0.000e+00  4.778e+04  2.000e+00  1.000e+02
 CH3CHNO                                                C2H4       NO                                           2.000e+13  0.000e+00  1.107e+04  2.000e+00  1.000e+02
 CHCHNO                                                 C2H2       NO                                           1.000e+14  0.000e+00  4.479e+02  2.000e+00  1.000e+02
