He = He                                           	0000      	0027      	0024      	0000      	0000      	0000      	0000      
H2O = H2O(ls)                                     	0000      	0000      	0033      	0000      	0000      	0000      	0000      
H2 = 2 x H                                        	0000      	0000      	0037      	0012      	0001      	0153      	0000      
OHV = OH                                          	0000      	0000      	0000      	0021      	0000      	0000      	0000      
O1D = O                                           	0000      	0000      	0000      	0022      	0000      	0000      	0000      
H2 = H2                                           	0000      	0000      	0000      	0000      	0040      	0000      	0000      
O2 = O2                                           	0000      	0000      	0000      	0000      	0041      	0000      	0000      
O3 = O3                                           	0000      	0000      	0000      	0000      	0042      	0000      	0000      
H2O = H2O                                         	0000      	0000      	0000      	0000      	0043      	0000      	0000      
OH + hnu = O1D + H                                	0000      	0000      	0000      	0004      	0000      	0164      	0000      
O2 + hnu = 2 x O1D                                	0000      	0000      	0000      	0010      	0000      	0000      	0000      
He + hnu = Hep + em                               	0000      	0000      	0000      	0000      	0000      	0147      	0000      
O(1D) + hnu = Op + em                             	0000      	0000      	0000      	0000      	0000      	0149      	0000      
O(1S) + hnu = Op + em                             	0000      	0000      	0000      	0000      	0000      	0150      	0000      
Hn + hnu = Hp + 2 x em                            	0000      	0000      	0000      	0000      	0000      	0151      	0000      
Hn + hnu = H + em                                 	0000      	0000      	0000      	0000      	0000      	0152      	0000      
O2 + hnu = Op + O + em                            	0000      	0000      	0000      	0000      	0000      	0158      	0000      
O2 + hnu = 2 x O(1S)                              	0000      	0000      	0000      	0000      	0000      	0159      	0000      
HO + hnu = O(1S) + H                              	0000      	0000      	0000      	0000      	0000      	0162      	0000      
HO + hnu = HOp + em                               	0000      	0000      	0000      	0000      	0000      	0163      	0000      
H2O + hnu = HOp + H + em                          	0000      	0000      	0000      	0000      	0000      	0168      	0000      
H2O + hnu = Op + H2 + em                          	0000      	0000      	0000      	0000      	0000      	0169      	0000      
H2O + hnu = Hp + HO + em                          	0000      	0000      	0000      	0000      	0000      	0170      	0000      
H2O + hnu = H2Op + em                             	0000      	0000      	0000      	0000      	0000      	0171      	0000      
O3 + hnu = O2 + O(1S)                             	0000      	0000      	0000      	0000      	0000      	0174      	0000      
H + H2O = H2 + OH                                 	0001      	0000      	0000      	0000      	0000      	0045      	0000      
H + H2O2 = OH + H2O                               	0002      	0023      	0009      	0033      	0039      	0050      	0000      
H + H2O2 = H2 + HO2                               	0003      	0022      	0008      	0034      	0038      	0051      	0000      
H + O2 = O + OH                                   	0007      	0000      	0000      	0026      	0000      	0044      	0000      
H2 + HO2 = H2O2 + H                               	0009      	0000      	0000      	0000      	0000      	0000      	0000      
2 x OH = O2 + H2                                  	0000      	0012      	0000      	0000      	0000      	0000      	0000      
O2 + H2 = O + H2O                                 	0000      	0016      	0000      	0000      	0000      	0000      	0000      
O3 + H2O2 = 2 x O2 + H2O                          	0000      	0025      	0000      	0000      	0000      	0000      	0000      
2 x O3 = 3 x O2                                   	0000      	0026      	0000      	0000      	0000      	0057      	0000      
O + H2O = 2 x OH                                  	0000      	0000      	0003      	0027      	0000      	0052      	0000      
OHV + H2O = OH + H2O                              	0000      	0000      	0000      	0028      	0000      	0000      	0000      
OHV + H2 = OH + H2                                	0000      	0000      	0000      	0029      	0000      	0000      	0000      
