 O + H2 = OH + H                                  
 O + OH = O2 + H                                  
 O + HO2 = OH + O2                                
 O + H2O2 = OH + HO2                              
 O + O3 = O2 + O2                                 
 O(1D) + H2 = OH + H                              
 O(1D) + H2O = OH + OH                            
 O(1D) + O3 = O2 + O2                             
 O(1D) + O3 = O2 + O + O                          
 OH + H2 = H + H2O                                
 OH + OH = O + H2O                                
 OH + OH = O2 + H2                                
 OH + HO2 = O2 + H2O                              
 OH + H2O2 = HO2 + H2O                            
 OH + O3 = O2 + HO2                               
 O2 + H2 = O + H2O                                
 HO2 + H = OH + OH                                
 HO2 + H = O + H2O                                
 HO2 + H = H2 + O2                                
 HO2 + O3 = OH + O2 + O2                          
 HO2 + HO2 = O2 + H2O2                            
 H2O2 + H = HO2 + H2                              
 H2O2 + H = OH + H2O                              
 O3 + H = OH + O2                                 
 O3 + H2O2 = O2 + O2 + H2O                        
 O3 + O3 = O2 + O2 + O2                           
 He = He                                          
 H + H + M = H2 + M                               
 O + H + M = OH + M                               
 O + O + M = O2 + M                               
 O + O2 + M = O3 + M                              
 OH + H + M = H2O + M                             
 OH + OH + M = H2O2 + M                           
 O2 + H + M = HO2 + M                             
 O(1D) + M = O + M                                
