H + H2O = H2 + OH                                 	6.82e-12(T/298.0)^1.6^ exp(-9720.0/T)                NIST                   300-2500
H + H2O2 = OH + H2O                               	1.69e-11 exp(-1800.0/T)                              NIST                   300-1000
H + H2O2 = H2 + HO2                               	2.81e-12 exp(-1890.0/T)                              NIST                   300-1000
H + HO2 = OH + OH                                 	7.2e-11                                              JPL                    298
H + HO2 = O + H2O                                 	1.6e-12                                              JPL                    298
H + HO2 = H2 + O2                                 	6.9e-12                                              JPL                    298
H + O2 = O + OH                                   	6.73e-10(T/298.0)^-0.59^ exp(-8152.0/T)              NIST                   800-3500  High Temperature
H + O3 = OH + O2                                  	1.4e-10 exp(-470.0/T)                                JPL                    200-300   Low Temperature
H2 + HO2 = H2O2 + H                               	5.0e-11 exp(-13110.0/T)                              NIST                   300-2500
HO2 + HO2 = H2O2 + O2                             	3.5e-13 exp(430.0/T)                                 JPL                    200-300   Low Temperature
HO2 + O3 = OH + O2 + O2                           	1.0e-14 exp(-490.0/T)                                JPL                    200-300   Low Temperature
O + H2 = H + OH                                   	3.44e-13(T/298.0)^2.67^ exp(-3160.0/T)               NIST                   300-2500
O + H2O2 = OH + HO2                               	1.4e-12 exp(-2000.0/T)                               JPL                    200-300   Low Temperature
O + HO2 = OH + O2                                 	3.0e-11 exp(200.0/T)                                 JPL                    200-300   Low Temperature
O + O3 = O2 + O2                                  	8.0e-12 exp(-2060.0/T)                               JPL                    200-300   Low Temperature
O + OH = O2 + H                                   	2.2e-11 exp(120.0/T)                                 JPL                    200-300   Low Temperature
O(1D) + H2 = H + OH                               	1.2e-10                                              JPL                    200-300   Low Temperature
O(1D) + H2O = OH + OH                             	1.63e-10 exp(60.0/T)                                 JPL                    200-300   Low Temperature
O(1D) + O2 = O + O2                               	3.3e-11 exp(55.0/T)                                  JPL                    200-300   Low Temperature
O(1D) + O3 = O2 + O2                              	1.2e-10                                              JPL                    200-300   Low Temperature
O(1D) + O3 = O2 + O + O                           	1.2e-10                                              JPL                    200-300   Low Temperature
OH + H2 = H2O + H                                 	2.8e-12 exp(-1800.0/T)                               JPL                    200-300   Low Temperature
OH + H2O2 = H2O + HO2                             	2.9e-12 exp(-160.0/T)                                JPL                    200-300   Low Temperature
OH + HO2 = H2O + O2                               	4.8e-11 exp(250.0/T)                                 JPL                    200-300   Low Temperature
OH + O3 = HO2 + O2                                	1.7e-12 exp(-940.0/T)                                JPL                    200-300   Low Temperature
OH + OH = H2O + O                                 	1.8e-12                                              JPL                    200-300   Low Temperature
H + H + M = H2 + M                                	6.04e-33(T/298.0)^-1.0*N^                            NIST                   300-2500
H + O + M = OH + M                                	4.36e-32(T/298.0)^-1.0*N^                            NIST                   300-2500
H + O2 + M = HO2 + M                              	k_0_ = 7.5e-11(T/300.0)^0.2^
H + O2 + M = HO2 + M                              	k_infinity_ = 4.4e-32(T/300.0)^-1.3^                 JPL                    200-300   Low Temperature
H + OH + M = H2O + M                              	6.87e-31(T/298.0)^-2.0*N^                            NIST                   300-3000
HO2 + HO2 + M = H2O2 + O2 + M                     	1.7e-33 exp(1000.0/T) * N                            JPL                    200-300   Low Temperature
O + O + M = O2 + M                                	5.21e-35 exp(900.0/T) * N                            NIST                   200-4000
O + O2 + M = O3 + M                               	6.0e-34(T/300.0)^-2.4*N^                             JPL                    200-300   Low Temperature
OH + OH + M = H2O2 + M                            	k_0_ = 2.6e-11
OH + OH + M = H2O2 + M                            	k_infinity_ = 6.9e-31(T/300.0)^-1.0^                 JPL                    200-300   Low Temperature
O3 + T = O2 + O                                   	7.16e-10 exp(-11200.0/T) * N                         NIST                   300-3000
HO2 + T = O2 + H                                  	2.41e-8(T/298.0)^-1.18^ exp(-24415.0/T) * N          NIST                   200-2000
H2O2 + T = OH + OH                                	2.01e-7 exp(-22852.0/T) * N                          NIST                   700-1500
