H2 = H + H                                        	   0.000E+00  0.000      0.00
O2 = O + O                                        	   0.000E+00  0.000      0.00
O2 = O + O(1D)                                    	   0.000E+00  0.000      0.00
O3 = O2 + O                                       	   0.000E+00  0.000      0.00
O3 = O2 + O(1D)                                   	   0.000E+00  0.000      0.00
OH = O + H                                        	   0.000E+00  0.000      0.00
H2O = H + OH                                      	   0.000E+00  0.000      0.00
H2O = H + H + O                                   	   0.000E+00  0.000      0.00
H2O = H2 + O(1D)                                  	   0.000E+00  0.000      0.00
H + H + M = H2 + M                                	   2.700E-31 -0.600      0.00  0.00  0.000      0.00          ! ** changed in code, Moses+11
O + H + M = OH + M                                	   1.300E-29 -1.000      0.00  0.000E+00  0.000      0.00
O + H2 = OH + H                                   	   8.490E-20  2.670  -3160.00
O + O + M = O2 + M                                	   5.200E-35  0.000    900.00
O + O2 + M = O3 + M                               	   5.287E-28 -2.400      0.00  0.000E+00  0.000      0.00
O + O3 = O2 + O2                                  	   8.000E-12  0.000  -2060.00
O + OH = O2 + H                                   	   2.000E-10 -0.352    113.00
O + HO2 = O2 + OH                                 	   3.000E-11  0.000    200.00                                 ! ** changed in code, Moses+13
O + H2O2 = OH + HO2                               	   1.400E-12  0.000  -2000.00
O(1D) + H2 = OH + H                               	   1.200E-10  0.000      0.00
O(1D) + O2 = O + O2                               	   3.300E-11  0.000     55.00
O(1D) + O3 = O2 + O2                              	   1.200E-10  0.000      0.00
O(1D) + O3 = O2 + O + O                           	   1.200E-10  0.000      0.00
O(1D) + H2O = OH + OH                             	   1.630E-10  0.000     60.00
O2 + H + M = HO2 + M                              	   4.150E-29 -1.300      0.00  7.720E-12  0.440      0.0      ! ** changed in code, Moses+13
O3 + H = OH + O2                                  	   1.400E-10  0.000   -470.00
O3 + OH = HO2 + O2                                	   1.700E-12  0.000   -940.00
O3 + HO2 = OH + O2 + O2                           	   1.000E-14  0.000   -490.00
OH + H + M = H2O + M                              	   6.100E-26 -2.000      0.00  2.690E-10  0.000    -75.00
OH + H2 = H2O + H                                 	   3.600E-16  1.520  -1740.00
OH + OH = O + H2O                                 	   2.040E-20  2.620    944.90                                 ! ** changed in code, Moses+13
OH + OH + M = H2O2 + M                            	   2.070E-28 -1.000      0.00  2.600E-11  0.000      0.00
OH + HO2 = H2O + O2                               	   4.800E-11  0.000    250.00                                 ! ** changed in code, Moses+13
OH + H2O2 = H2O + HO2                             	   1.800E-12  0.000      0.00
HO2 + H = OH + OH                                 	   3.650E-13  0.880     32.47
HO2 + H = O2 + H2                                 	   1.110E-16  1.770    286.00
HO2 + H = H2O + O                                 	   1.430E-15  1.480  -6086.00
HO2 + HO2 = H2O2 + O2                             	   2.100E-12  0.000      0.00
H2O2 + H = H2 + HO2                               	   2.800E-12  0.000  -1890.00
H2O2 + H = H2O + OH                               	   1.700E-11  0.000  -1800.00
H2 = H2                                           	0.00E+00   0.    0.
O2 = O2                                           	0.00E+00   0.    0.
O3 = O3                                           	0.00E+00   0.    0.
H2O = H2O                                         	0.00E+00   0.    0.
