H2 = H + H                                        	    k   =  0.00E+00 EXP(     0./T)
O2 = O + O                                        	    k   =  0.00E+00 EXP(     0./T)
O2 = O + O(1D)                                    	    k   =  0.00E+00 EXP(     0./T)
OH = O + H                                        	    k   =  0.00E+00 EXP(     0./T)
H2O = H + OH                                      	    k   =  0.00E+00 EXP(     0./T)
H2O = H + H + O                                   	    k   =  0.00E+00 EXP(     0./T)
H2O = H2 + O(1D)                                  	    k   =  0.00E+00 EXP(     0./T)
H + H + M = H2 + M                                	    k0  =  0.00E+00 EXP(     0./T)
H2 + M = H + H + M                                	    k   =  0.00E+00 EXP(     0./T)
O + H + M = OH + M                                	    k0  =  0.00E+00 EXP(     0./T)
OH + M = O + H + M                                	    k   =  0.00E+00 EXP(     0./T)
O + H2 = OH + H                                   	    k   =  0.00E+00 EXP(     0./T)
H + OH = O + H2                                   	    k   =  0.00E+00 EXP(     0./T)
O + O + M = O2 + M                                	    k0  =  0.00E+00 EXP(     0./T)
O2 + M = O + O + M                                	    k   =  0.00E+00 EXP(     0./T)
O + OH = O2 + H                                   	    k   =  0.00E+00 EXP(     0./T)
H + O2 = O + OH                                   	    k   =  0.00E+00 EXP(     0./T)
O + HO2 = O2 + OH                                 	    k   =  0.00E+00 EXP(     0./T)
O2 + OH = O + HO2                                 	    k   =  0.00E+00 EXP(     0./T)
O + H2O2 = OH + HO2                               	    k   =  0.00E+00 EXP(     0./T)
OH + HO2 = O + H2O2                               	    k   =  0.00E+00 EXP(     0./T)
O(1D) + H2 = OH + H                               	    k   =  0.00E+00 EXP(     0./T)
H + OH = O(1D) + H2                               	    k   =  0.00E+00 EXP(     0./T)
O(1D) + H2O = OH + OH                             	    k   =  0.00E+00 EXP(     0./T)
OH + OH = O(1D) + H2O                             	    k   =  0.00E+00 EXP(     0./T)
O2 + H + M = HO2 + M                              	    k0  =  0.00E+00 EXP(     0./T)
HO2 + M = O2 + H + M                              	    k   =  0.00E+00 EXP(     0./T)
OH + H + M = H2O + M                              	    k0  =  0.00E+00 EXP(     0./T)
H2O + M = OH + H + M                              	    k   =  0.00E+00 EXP(     0./T)
OH + H2 = H2O + H                                 	    k   =  0.00E+00 EXP(     0./T)
H + H2O = OH + H2                                 	    k   =  0.00E+00 EXP(     0./T)
OH + OH = O + H2O                                 	    k   =  0.00E+00 EXP(     0./T)
O + H2O = OH + OH                                 	    k   =  0.00E+00 EXP(     0./T)
OH + OH + M = H2O2 + M                            	    k0  =  0.00E+00 EXP(     0./T)
H2O2 + M = OH + OH + M                            	    k   =  0.00E+00 EXP(     0./T)
OH + HO2 = H2O + O2                               	    k   =  0.00E+00 EXP(     0./T)
O2 + H2O = OH + HO2                               	    k   =  0.00E+00 EXP(     0./T)
OH + H2O2 = H2O + HO2                             	    k   =  0.00E+00 EXP(     0./T)
H2O + HO2 = OH + H2O2                             	    k   =  0.00E+00 EXP(     0./T)
HO2 + H = H2O + O                                 	    k   =  0.00E+00 EXP(     0./T)
O + H2O = HO2 + H                                 	    k   =  0.00E+00 EXP(     0./T)
HO2 + H = OH + OH                                 	    k   =  0.00E+00 EXP(     0./T)
OH + OH = HO2 + H                                 	    k   =  0.00E+00 EXP(     0./T)
HO2 + H = O2 + H2                                 	    k   =  0.00E+00 EXP(     0./T)
H2 + O2 = HO2 + H                                 	    k   =  0.00E+00 EXP(     0./T)
HO2 + HO2 = H2O2 + O2                             	    k   =  0.00E+00 EXP(     0./T)
O2 + H2O2 = HO2 + HO2                             	    k   =  0.00E+00 EXP(     0./T)
H2O2 + H = H2 + HO2                               	    k   =  0.00E+00 EXP(     0./T)
H2 + HO2 = H2O2 + H                               	    k   =  0.00E+00 EXP(     0./T)
H2O2 + H = H2O + OH                               	    k   =  0.00E+00 EXP(     0./T)
OH + H2O = H2O2 + H                               	    k   =  0.00E+00 EXP(     0./T)
H2 = H2                                           	    k   =  0.00E+00 EXP(     0./T)
H2O = H2O                                         	    k   =  0.00E+00 EXP(     0./T)
