OH + H2 = H2O + H                                 	 3.57E-16     1.520    1740.0      1992OLD/LOG8426-8430      250-2580
O + H2 = OH + H                                   	 8.52E-20     2.670    3160.0                                300-2500
O + H2O = OH + OH                                 	 8.20E-14     0.950    8570.0                                250-2400
O + OH = O2 + H                                   	 7.47E-10    -0.500      30.0                       200-2500
O3 + H = OH + O2                                  	 1.40E-10     0.        470.0        1997DEM/SAN1-266  	     200-300
O + O3 = O2 + O2                                  	 8.00E-12     0.       2060.0      2004ATK/BAU1461-1738      200-400
OH + O3 = HO2 + O2                                	 1.70E-12     0.        940.0      2004ATK/BAU1461-1738      220-450
H2O2 + H = H2 + HO2                               	 2.81E-12     0.       1890.0      1992BAU/COB411-429         300-1000
H2O2 + H = OH + H2O                               	 1.69E-11     0.       1800.0      1992BAU/COB411-429         300-1000
HO2 + H = OH + OH                                 	 2.81E-10     0.        440.0      1992BAU/COB411-429         300-1000
HO2 + H = O + H2O                                 	 5.00E-11     0.        866.0      1992BAU/COB411-429         300-1000
HO2 + H = O2 + H2                                 	 7.11E-11     0.        710.0      1992BAU/COB411-429         300-1000
HO2 + O3 = OH + O2 + O2                           	9.71E-28     4.57     -693.0      2004ATK/BAU1461-1738       250-340
O + H2O2 = OH + HO2                               	 1.40E-12     0.       2000.0      2004ATK/BAU1461-1738       280-390
O + HO2 = OH + O2                                 	 2.70E-11     0.       -224.0      2004ATK/BAU1461-1738       220-440
OH + H2O2 = H2O + HO2                             	 2.90E-12     0.        160.0      2004ATK/BAU1461-1738       240-460
OH + HO2 = H2O + O2                               	 2.40E-08    -1.00        0.0       1986TSA/HAM1087          300-2500
HO2 + HO2 = H2O2 + O2                             	 2.30E-13     0.       -600.0       2004ATK/BAU1461-1738     230-420
O(1D) + H2 = OH + H                               	 2.87E-10     0.000       0.0       1975TUL1893              100-2100
O(1D) + H2O = OH + OH                             	 1.62E-10     0.000     -65.0       2004DUN/RAV3333-3340     235-370
O(1D) + O2 = O + O2                               	 3.20E-11     0.        -70.0       1997DEM/SAN1-266         200-300
O(1D) + O3 = O2 + O2                              	 1.20E-10     0.          0.0       1997DEM/SAN1-266         200-300
O(1D) + O3 = O2 + O + O                           	 1.20E-10     0.          0.0       1997DEM/SAN1-266         200-300
He = He                                           	 0.00E+00     0.000       0.0
H + H + M = H2 + M                                	 2.70E-31    -0.600       0.0      3.31E-06    -1.000       0.0                             100-5000, ??
H + O + M = OH + M                                	 1.30E-29    -1.000       0.0      1.00E-11     0.000       0.0                             300-2500, ??
OH + H + M = H2O + M                              	 3.89E-25    -2.000       0.0      4.26E-11     0.230     -57.5                             300-3000, 300-3000
O + O2 + M = O3 + M                               	 5.09E-27    -2.800       0.0      2.81E-12     0.          0.        1997ATK/BAU1329-1499 / 1989ATK/BAU881-1097                  200-300, 200-300
H + O2 + M = HO2 + M                              	 2.17E-29    -1.100       0.0      7.51E-11     0.          0.        2012TUR/NAG284-302 / 1997ATK/BAU1329-1499                   300-1850, 200-400
HO2 + HO2 + M = H2O2 + O2 + M                     	 1.90E-33     0.       -980.0      2.20E-13     0.       -600.        1997ATK/BAU1329-1499 / 2004ATK/BAU1461-1738                 200-300, 230-420
OH + OH + M = H2O2 + M                            	 7.97E-31    -0.760       0.0      1.51E-11    -0.370       0.0       1992BAU/COB411-429 / 1992BAU/COB411-429                        250-1400 /200-1400
O + O + M = O2 + M                                	  5.21E-35	 0.		   -900.		1986TSA/HAM1087
H2O = H2O(ls)                                     
H2O = H + OH                                      	      		H2O		1
H2O = H2 + O(1D)                                  	             H2O		2
H2O = H + H + O                                   	             H2O		3
H2 = H + H                                        					H2		1
OH = H + O                                        	             OH      1
O2 = O + O                                        	             O2      1
O2 = O + O(1D)                                    	             O2      2
O3 = O2 + O                                       	             O3      1
O3 = O2 + O(1D)                                   	             O3      2
HO2 = O + OH                                      	             HO2     1
H2O2 = OH + OH                                    	             H2O2    1
