H2O + HV = H + OH
H2O + HV = H2 + O1D
H2O + HV = H + H + O3P
OH + HV = O1D + H
OH + HV = O3P + H
OH + HV = O1D + H
OOH + HV = OH + O3P
O2 + HV = O3P + O3P
O2 + HV = O1D + O3P
O2 + HV = O1D + O1D
H2O2 + HV = OH + OH
H2 + HV = H + H
H2 + HV = H + H
H + O2 = OOH
O3P + O3P = O2
H + OH = H2O
O3P + H = OH
H + O3P = OHV
H2O2 = OH + OH
H2 = H + H
OHV = OH
O1D = O3P
O1D = O3P
H2 + O3P = H + OH
H2 + OH = H + H2O
O2 + H = O3P + OH
O3P + H2O = OH + OH
OHV + H2O = OH + H2O
OHV + H2 = OH + H2
OHV + OH = OH + OH
OHV + H = OH + H
OHV + O2 = OH + O2
H2O2 + H = H2O + OH
H2O2 + H = H2 + OOH
H2O2 + O3P = OH + OOH
H2O2 + OH = H2O + OOH
H2O2 + OH = H2O + OOH
OOH + H = OH + OH
OOH + H = H2 + O2
OOH + O3P = OH + O2
OH + OOH = H2O + O2
OH + OOH = H2O + O2
OOH + OOH = H2O2 + O2
OOH + OOH = H2O2 + O2
O1D + H2 = OH + H
O1D + H2O = OH + OH
