#      REACTION                                      ALPHA         BETA    GAMMA  REF     (added by JRB)
H + H + M => H_2 + M                               9.13E-33 cm6/s  -0.60      0.0 30
H + H + M => H_2 + M                               1.00E-11 cm3/s   0.00      0.0 5
H + O + M => HO + M                                4.33E-32 cm6/s  -1.00      0.0 7
H + O + M => HO + M                                1.05E-12 cm3/s  -2.00      0.0
O + O + M => O_2 + M                               1.67E-33 cm6/s  -1.0       0.0 762                 
O + O + M => O_2 + M                               1.21E-11 cm3/s  -2.0       0.0 Est.                      
O_2 + O + M => O_3 + M                             6.00E-34 cm6/s  -2.40      0.0 169
O_2 + O + M => O_3 + M                             2.81E-12 cm3/s   0.00      0.0 11
HO + H + M => H_2O + M                             6.78E-31 cm6/s  -2.00      0.0 5
HO + H + M => H_2O + M                             2.09E-10 cm3/s   0.00      0.0
O_2 + H + M => HO_2 + M                            4.11E-32 cm6/s  -1.10      0.0 832               
O_2 + H + M => HO_2 + M                            7.51E-11 cm3/s   0.0       0.0 722                 
HO + HO + M => H_2O_2 + M                          1.01E-30 cm6/s  -4.3     340.0 807              
HO + HO + M => H_2O_2 + M                          2.61E-11 cm3/s   0.0       0.0 740                 
H_4O_2 + M => H_2O + H_2O + M                      1.00E-09 cm6/s   0.00   1500.0 Est
H_4O_2 + M => H_2O + H_2O + M                      2.42E+10 cm3/s  -1.00   1500.0
OH + O_2 + M => HO_3 + M                           1.70E-33 cm6/s  -3.5       0.0 820               
OH + O_2 + M => HO_3 + M                           4.10E-11 cm3/s  -4.5       0.0 Est.                      
H^^+^ + H_2 + M => H_3^+ + M                       3.05E-29 cm6/s   0.00      0.0 109
H^^+^ + H_2 + M => H_3^+ + M                       7.37E-10 cm3/s  -1.00      0.0
H_3^+ + O_2 + M => H_3O_2^+ + M                    3.00E-29 cm6/s   0.00      0.0 111
H_3^+ + O_2 + M => H_3O_2^+ + M                    7.25E-10 cm3/s  -1.00      0.0
He^^+^ + He + M => He_2^+ + M                      1.06E-31 cm6/s  -1.00      0.0 112
He^^+^ + He + M => He_2^+ + M                      2.56E-12 cm3/s  -2.00      0.0
H + M => H^+^ + e^-^ + M                           5.31E-12 cm6/s   0.50    0.0 * 116
H + M => H^+^ + e^-^ + M                           1.28E+08 cm3/s  -0.50    0.0 *
O + M => O^+^ + e^-^ + M                           2.72E-09 cm6/s   0.50    0.0 * 116
O + M => O^+^ + e^-^ + M                           6.57E+10 cm3/s  -0.50    0.0 *
H_2 + M => H_2^+ + ^e^-^ + M                       4.25E-11 cm6/s   0.50    0.0 * 116
H_2 + M => H_2^+ + ^e^-^ + M                       1.03E+09 cm3/s  -0.50    0.0 *
HO + M => HO^+^ + e^-^ + M                         3.87E-09 cm6/s   0.50    0.0 * 116
HO + M => HO^+^ + e^-^ + M                         9.35E+10 cm3/s  -0.50    0.0 *
He + M => He^+^ + e^-^ + M                         4.25E-11 cm6/s   0.50    0.0 * 116
He + M => He^+^ + e^-^ + M                         1.03E+09 cm3/s  -0.50    0.0 *
O_2 + M => O_2^+ + ^e^-^ + M                       2.18E-08 cm6/s   0.50    0.0 * 116
O_2 + M => O_2^+ + ^e^-^ + M                       5.26E+11 cm3/s  -0.50    0.0 *
H_2O + M => H_2O^+^ + e^-^ + M                     5.31E-09 cm6/s   0.50    0.0 * 116
H_2O + M => H_2O^+^ + e^-^ + M                     1.28E+11 cm3/s  -0.50    0.0 *
HO_2 + M => HO_2^+ + ^e^-^ + M                     2.61E-08 cm6/s   0.50    0.0 * 116
HO_2 + M => HO_2^+ + ^e^-^ + M                     6.30E+11 cm3/s  -0.50    0.0 *
H_2O_2 + M => H_2O_2^+ + ^e^-^ + M                 3.10E-08 cm6/s   0.50    0.0 * 116
H_2O_2 + M => H_2O_2^+ + ^e^-^ + M                 7.48E+11 cm3/s  -0.50    0.0 *
H + HO => H_2 + O                                  6.86E-14 cm3/s   2.80   1950.0 7
H + O_2 => HO + O                                  6.73E-10 cm3/s  -0.59   8150.0 126
H + H_2O => H_2 + HO                               6.82E-12 cm3/s   1.60   9720.0 5
H + HO_2 => H_2O + O                               6.55E-12 cm3/s   1.47   6990.0 132
H + HO_2 => HO + HO                                5.50E-11 cm3/s   0.88      0.0 132
H + HO_2 => H_2 + O_2                              5.60E-12 cm3/s   1.72      0.0 132
H + O_3 => HO + O_2                                2.72E-11 cm3/s   0.75      0.0 135
H + H_2O_2 => HO + H_2O                            4.00E-11 cm3/s   0.00   1800.0 7
H + H_2O_2 => H_2 + HO_2                           8.00E-11 cm3/s   0.00   4000.0 7
O + H_2O => HO + HO                                6.68E-13 cm3/s   2.60   7640.0 186
O + H_2O => H_2 + O_2                              4.48E-12 cm3/s   0.97  35300.0 187
HO_2 + O => HO + O_2                               5.90E-11 cm3/s   0.0       0.0 Est.                      
O + O_3 => O_2 + O_2                               8.00E-12 cm3/s   0.0    2060.0 697              
O + H_2O_2 => HO_2 + HO                            1.42E-12 cm3/s   2.00   2000.0 7
O_3 + O_3 => O_2 + O_2 + O_2                       7.47E-12 cm3/s   0.00   9310.0 208
H_2 + O_2 => HO + HO                               4.15E-11 cm3/s   0.44  34800.0 187
H_2 + H_2O_2 => HO + HO + H_2                      7.04E-08 cm3/s   0.00  22900.0 235
HO + HO_2 => H_2O + O_2                            7.11E-11 cm3/s  -0.21      0.0 242
HO + O_3 => HO_2 + O_2                             3.76E-13 cm3/s   1.99    603.0 245
HO + H_2O_2 => HO_2 + H_2O                         1.30E-11 cm3/s   0.00    670.0 5
O_2 + H_2O_2 => HO_2 + HO_2                        9.00E-11 cm3/s   0.00  20000.0 7
HO_2 + HO_2 => H_2 + O_2 + O_2                     1.49E-12 cm3/s   0.00    503.0 310
HO_2 + O_3 => HO + O_2 + O_2                       1.00E-14 cm3/s   0.0     490.0 806              
HO_2 + H_2O_2 => H_2O + HO + O_2                   1.00E-13 cm3/s   0.00      0.0 334
O(^1^D) + O_2 => O + O_2                           4.00E-11 cm3/s   0.00      0.0 169
O(^1^D) + O_3 => O_2 + O_2                         1.20E-10 cm3/s   0.00      0.0 169
O(^1^D) + O_3 => O_2 + O + O                       1.20E-10 cm3/s   0.00      0.0 169
O(^1^D) + H_2 => HO + H                            1.20E-10 cm3/s   0.00      0.0 169
O(^1^D) + H_2O => HO + HO                          2.00E-10 cm3/s   0.00      0.0 169
O(^1^S) + O_2 => O + O_2                           2.85E-13 cm3/s   0.00      0.0 169
O(^1^S) + O_3 => O_2 + O_2                         2.30E-10 cm3/s   0.00      0.0 169
O(^1^S) + O_3 => O_2 + O + O                       2.30E-10 cm3/s   0.00      0.0 169
O(^1^S) + H_2O => HO + HO                          6.38E-10 cm3/s   0.00      0.0 169
O(^1^S) + H_2 => HO + H                            3.60E-10 cm3/s   0.00      0.0 169
O_2(a^1Delta__g^) + O_3 => O_2 + O_2 + O           5.20E-11 cm3/s   0.00   2840.0 169
O_2(a^1Delta__g^) + H_2O => O_2 + H_2O             1.00E-11 cm3/s   0.00      0.0 169
HO + O => H + O_2                                  3.28E-11 cm3/s  -0.32      0.0 802             
H_2 + HO => H_2O + H                               5.44E-11 cm3/s   0.0    3210.0 774           
HO + HO => H_2O + O                                5.98E-12 cm3/s   0.83    379.0 766               
HO_2 + HO_2 => H_2O_2 + O_2                        2.76E-12 cm3/s   0.0       0.0 816                 
H^+^ + O => O^+^ + H                               3.75E-10 cm3/s   0.00      0.0 530
HO^^+^ + H_2 => H_2O^+^ + H                        1.50E-09 cm3/s   0.00      0.0 110
HO^+^ + H_2O => H_2O^+^ + HO                       2.87E-09 cm3/s   0.00      0.0 538
HO^+^ + H_2O => H_3O^+^ + O                        2.87E-09 cm3/s   0.00      0.0 538
HO^+^ + O_2 => O_2^+ + HO                          2.00E-10 cm3/s   0.00      0.0 110
HO_2^+ + H_2 => H_3^+ + O_2                        3.00E-10 cm3/s   0.00      0.0 540
H_2^+ + H => H^^+^ + H_2                           6.40E-10 cm3/s   0.00      0.0 545
H_2^+ + H_2 => H_3^+ + H                           2.11E-09 cm3/s   0.00      0.0 546
H_2^+ + He => HeH^^+^ + H                          1.40E-10 cm3/s   0.00      0.0 547
H_2^+ + O_2 => HO_2^+ + H                          7.56E-09 cm3/s   0.00      0.0 548
H_2O^^+^ + H_2 => H_3O^+^ + H                      1.40E-09 cm3/s   0.00      0.0 110
H_2O^+^ + H_2O => H_3O^+^ + HO                     1.80E-09 cm3/s   0.00      0.0 538
H_2O^+^ + O => O_2^+ + H_2                         3.99E-11 cm3/s   0.00      0.0 453
H_2O^^+^ + O_2 => O_2^+ + H_2O                     2.00E-10 cm3/s   0.00      0.0 110
H_2O_2^+ + H_2O => H_3O^^+^ + HO_2                 1.70E-09 cm3/s   0.00      0.0 554
H_2O_2^+ + H_2O_2 => H_3O_2^+ + HO_2               6.00E-10 cm3/s   0.00      0.0 554
H_3^+ + H_2O => H_3O^^+^ + H_2                     4.30E-09 cm3/s   0.00      0.0 472
H_3^+ + O_2 => HO_2^+ + H_2                        7.00E-10 cm3/s   0.00      0.0 540
H_3O_2^+ + H_2O => H_3O^^+^ + H_2O_2               1.00E-10 cm3/s   0.00      0.0 554
H_3O_2^+ + O_2 => HO_4^+ + H_2                     5.00E-10 cm3/s   0.00      0.0 111
He^+^ + H_2 => HeH^+^ + H                          5.00E-13 cm3/s   0.00      0.0 547
He^+^ + H_2 => H_2^+ + He                          5.00E-13 cm3/s   0.00      0.0 547
He^^+^ + H_2 => H^+^ + H + He                      2.00E-12 cm3/s   0.00      0.0 547
He^+^ + H_2O => HeH^+^ + HO                        1.00E-10 cm3/s   0.00      0.0 570
He^+^ + H_2O => HO^+^ + H + He                     4.57E-10 cm3/s   0.00      0.0 570
He^+^ + H_2O => H_2O^+^ + He                       9.35E-11 cm3/s   0.00      0.0 570
He^+^ + O_2 => O^+^ + O + He                       6.80E-10 cm3/s   0.00      0.0 571
He^+^ + O_2 => O_2^+ + He                          1.70E-10 cm3/s   0.00      0.0 571
HeH^^+^ + H_2 => H_3^+ + He                        1.50E-09 cm3/s   0.00      0.0 572
HeH^^+^ + O_2 => HO_2^+ + He                       1.10E-09 cm3/s   0.00      0.0 492
He_2^+ + O_2 => O_2^+ + He + He                    7.88E-10 cm3/s   0.00      0.0 437
He_2^+ + O_2 => O^^+^ + O + He + He                2.63E-10 cm3/s   0.00      0.0 437
He_2^+ + O_2 => O^^+^ + O + He + He                2.63E-10 cm3/s   0.00      0.0 437
O^^+^ + H_2 => HO^+^ + H                           1.70E-09 cm3/s   0.00      0.0 574
O^+^ + H_2O => H_2O^+^ + O                         3.20E-09 cm3/s   0.00      0.0 574
O^+^(^2^D) + O_2 => O_2^+ + O                      5.67E-10 cm3/s   0.00      0.0 588
O^^+^(^2^D) + O_2 => O^+^ + O_2                    2.43E-10 cm3/s   0.00      0.0 588
O_2^+(X^^2Pi_g^) + H_2 => O_2^+ + H_2              6.00E-10 cm3/s   0.00      0.0 591
O_2^+(X^^2Pi_g^) + H_2 => HO_2^+ + H               1.02E-09 cm3/s   0.00      0.0 585
O_2^+(X^^2Pi_g^) + H_2 => H_2^+ + O_2              1.80E-10 cm3/s   0.00      0.0 585
O_2^+ + H_2O_2 => H_2O_2^+ + O_2                   1.50E-09 cm3/s   0.00      0.0 554
O_2^+(X^^2Pi_g^) + O_2 => O_2^+ + O_2              4.60E-10 cm3/s   0.00      0.0 591
H^-^ + H => H_2 + e^-^                             1.80E-09 cm3/s   0.00      0.0 612
H^-^ + H_2O => HO^-^ + H_2                         3.70E-09 cm3/s   0.00      0.0 472
H^-^ + O_2 => HO_2 + e^-^                          1.20E-09 cm3/s   0.00      0.0 613
HO^-^ + H => H_2O + e^-^                           1.40E-09 cm3/s   0.00      0.0 619
HO^^-^ + O => HO_2 + e^-^                          2.00E-10 cm3/s   0.00      0.0 621
HO^-^ + O_3 => O_3^- + HO                          9.00E-10 cm3/s   0.00      0.0 622
O^-^ + H_2 => H_2O + e^-^                          7.01E-10 cm3/s   0.00      0.0 627
O^-^ + H_2 => HO^-^ + H                            2.92E-11 cm3/s   0.00      0.0 627
O^-^ + O => O_2 + e^-^                             1.90E-10 cm3/s   0.00      0.0 606
O^-^ + O_2 => O_2^- + O                            7.00E-13 cm3/s   0.00      0.0 634
O^^-^ + O_2(a^1Delta__g^) => O_3 + e^-^            3.00E-10 cm3/s   0.00      0.0 635
O^-^ + O_3 => O_2 + O_2 + e^-^                     3.01E-10 cm3/s   0.00      0.0 636
O^-^ + O_3 => O_3^- + O                            1.99E-10 cm3/s   0.00      0.0 636
O^^-^ + O_3 => O_2^- + O_2                         1.02E-11 cm3/s   0.00      0.0 636
O_2^- + H => HO_2 + ^e^-^                          1.40E-09 cm3/s   0.00      0.0 603
O_2^- + H => H^^-^ + O_2                           1.40E-09 cm3/s   0.00      0.0 603
O_2^- + O => O_3 + ^e^-^                           1.50E-10 cm3/s   0.00      0.0 603
O_2^- + O => O^^-^ + O_2                           1.50E-10 cm3/s   0.00      0.0 603
O_2^- + O_3 => O_3^- + O_2                         7.80E-10 cm3/s   0.00      0.0 637
O_3^- + H => HO^^-^ + O_2                          8.40E-10 cm3/s   0.00      0.0 603
O_3^- + O => O_2^- + O_2                           2.50E-10 cm3/s   0.00      0.0 606
H + gamma => H^+^ + e^-^                                                          641
He + gamma => He^+^ + e^-^                                                        642
O + gamma => O^+^ + e^-^                                                          644
O(^1^D) + gamma => O^+^ + e^-^                                                    645
O(^1^S) + gamma => O^+^ + e^-^                                                    645
H^-^ + gamma => H^+^ + e^-^ + e^-^                                                646
H^-^ + gamma => H + e^-^                                                          646
H_2 + gamma => H + H                                                              653
H_2 + gamma => H_2^+ + ^e^-^                                                      653
H_2 + gamma => H^+^ + H + e^-^                                                    653
O_2 + gamma => O + O                                                              656
O_2 + gamma => O + O(^1^D)                                                        656
O_2 + gamma => O^+^ + O + e^-^                                                    656
O_2 + gamma => O(^1^S) + O(^1^S)                                                  656
O_2 + gamma => O_2^+ + ^e^-^                                                      656
HO + gamma => O + H                                                               657
HO + gamma => O(^1^S) + H                                                         657
HO + gamma => HO^+^ + e^-^                                                        657
HO + gamma => O(^1^D) + H                                                         657
H_2O + gamma => HO + H                                                            659
H_2O + gamma => H_2 + O(^1^D)                                                     659
H_2O + gamma => O + H + H                                                         659
H_2O + gamma => HO^+^ + H + e^-^                                                  659
H_2O + gamma => O^+^ + H_2 + e^-^                                                 659
H_2O + gamma => H^+^ + HO + e^-^                                                  659
H_2O + gamma => H_2O^+^ + e^-^                                                    659
HO_2 + gamma => HO + O                                                            661
O_3 + gamma => O_2 + O                                                            665
O_3 + gamma => O_2 + O(^1^S)                                                      665
H_2O_2 + gamma => HO + HO                                                         667
H_2^+ + ^e^-^ => H + H                             2.53E-07 cm3/s  -0.50      0.0 683
HeH^+^ + e^-^ => H + He                            3.00E-08 cm3/s  -0.50      0.0 683
O_2^+ + ^e^-^ => O + O                             1.95E-07 cm3/s  -0.70      0.0 683
HO^+^ + e^-^ => O + H                              6.30E-09 cm3/s  -0.48      0.0 683
H_2O^+^ + e^-^ => O + H_2                          3.90E-08 cm3/s  -0.50      0.0 683
H_2O^+^ + e^-^ => HO + H                           8.60E-08 cm3/s  -0.50      0.0 683
H_2O^+^ + e^-^ => O + H + H                        3.05E-07 cm3/s  -0.50      0.0 683
H_3^+ + ^e^-^ => H + H + H                         4.36E-08 cm3/s  -0.52      0.0 683
H_3^+ + ^e^-^ => H_2 + H                           2.34E-08 cm3/s  -0.52      0.0 683
HO_2^+ + ^e^-^ => O_2 + H                          3.00E-07 cm3/s  -0.50      0.0 683
H_3O^+^ + e^-^ => HO + H + H                       2.60E-07 cm3/s  -0.50      0.0 683
H_3O^+^ + e^-^ => H_2O + H                         1.10E-07 cm3/s  -0.50      0.0 683
H_3O^+^ + e^-^ => HO + H_2                         6.00E-08 cm3/s  -0.50      0.0 683
H_3O^+^ + e^-^ => H_2 + H + O                      5.60E-09 cm3/s  -0.50      0.0 683
H^+^ + e^-^ + M => H + gamma                       3.50E-12 cm6/s  -0.75      0.0 689
He^+^+ + e^-^ + M => He + gamma                    5.36E-12 cm6/s  -0.50      0.0 690                                       
