#      REACTION                                      ALPHA         BETA    GAMMA  REF     (added by JRB)
O + O + M => O_2 + M                               1.67E-33 cm6/s  -1.0       0.0 762                 
O + O + M => O_2 + M                               1.21E-11 cm3/s  -2.0       0.0 Est.                      
O_2 + O + M => O_3 + M                             6.00E-34 cm6/s  -2.40      0.0 169
O_2 + O + M => O_3 + M                             2.81E-12 cm3/s   0.00      0.0 11
O + M => O^+^ + e^-^ + M                           2.72E-09 cm6/s   0.50    0.0 * 116
O + M => O^+^ + e^-^ + M                           6.57E+10 cm3/s  -0.50    0.0 *
O_2 + M => O_2^+ + ^e^-^ + M                       2.18E-08 cm6/s   0.50    0.0 * 116
O_2 + M => O_2^+ + ^e^-^ + M                       5.26E+11 cm3/s  -0.50    0.0 *
O + O_3 => O_2 + O_2                               8.00E-12 cm3/s   0.0    2060.0 697              
O_3 + O_3 => O_2 + O_2 + O_2                       7.47E-12 cm3/s   0.00   9310.0 208
O(^1^D) + O_2 => O + O_2                           4.00E-11 cm3/s   0.00      0.0 169
O(^1^D) + O_3 => O_2 + O_2                         1.20E-10 cm3/s   0.00      0.0 169
O(^1^D) + O_3 => O_2 + O + O                       1.20E-10 cm3/s   0.00      0.0 169
O(^1^S) + O_2 => O + O_2                           2.85E-13 cm3/s   0.00      0.0 169
O(^1^S) + O_3 => O_2 + O_2                         2.30E-10 cm3/s   0.00      0.0 169
O(^1^S) + O_3 => O_2 + O + O                       2.30E-10 cm3/s   0.00      0.0 169
O_2(a^1Delta__g^) + O_3 => O_2 + O_2 + O           5.20E-11 cm3/s   0.00   2840.0 169
O^+^(^2^D) + O_2 => O_2^+ + O                      5.67E-10 cm3/s   0.00      0.0 588
O^^+^(^2^D) + O_2 => O^+^ + O_2                    2.43E-10 cm3/s   0.00      0.0 588
O_2^+(X^^2Pi_g^) + O_2 => O_2^+ + O_2              4.60E-10 cm3/s   0.00      0.0 591
O^-^ + O => O_2 + e^-^                             1.90E-10 cm3/s   0.00      0.0 606
O^-^ + O_2 => O_2^- + O                            7.00E-13 cm3/s   0.00      0.0 634
O^^-^ + O_2(a^1Delta__g^) => O_3 + e^-^            3.00E-10 cm3/s   0.00      0.0 635
O^-^ + O_3 => O_2 + O_2 + e^-^                     3.01E-10 cm3/s   0.00      0.0 636
O^-^ + O_3 => O_3^- + O                            1.99E-10 cm3/s   0.00      0.0 636
O^^-^ + O_3 => O_2^- + O_2                         1.02E-11 cm3/s   0.00      0.0 636
O_2^- + O => O_3 + ^e^-^                           1.50E-10 cm3/s   0.00      0.0 603
O_2^- + O => O^^-^ + O_2                           1.50E-10 cm3/s   0.00      0.0 603
O_2^- + O_3 => O_3^- + O_2                         7.80E-10 cm3/s   0.00      0.0 637
O_3^- + O => O_2^- + O_2                           2.50E-10 cm3/s   0.00      0.0 606
O + gamma => O^+^ + e^-^                                                          644
O(^1^D) + gamma => O^+^ + e^-^                                                    645
O(^1^S) + gamma => O^+^ + e^-^                                                    645
O_2 + gamma => O + O                                                              656
O_2 + gamma => O + O(^1^D)                                                        656
O_2 + gamma => O^+^ + O + e^-^                                                    656
O_2 + gamma => O(^1^S) + O(^1^S)                                                  656
O_2 + gamma => O_2^+ + ^e^-^                                                      656
O_3 + gamma => O_2 + O                                                            665
O_3 + gamma => O_2 + O(^1^S)                                                      665
O_2^+ + ^e^-^ => O + O                             1.95E-07 cm3/s  -0.70      0.0 683
